ModuleId,UniversityName,ModuleName,LinkToCourseOutline,Description,Faculty,AY,Semester,Credits,Difficulty,Popularity
GEH1070,National University of Singapore (NUS),Traditional Chinese Knowledge of Health and Well-being,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GES1028,National University of Singapore (NUS),Singapore Society,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GES1034,National University of Singapore (NUS),We the Citizens - Understanding Singapore’s Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GES1039,National University of Singapore (NUS),Cultural Performances and Practices in Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1000,National University of Singapore (NUS),Global EC Dimensions of Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1003,National University of Singapore (NUS),Everyday Life of Chinese Singaporeans: Past & Present (taught in English),https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1005,National University of Singapore (NUS),South Asia in Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1006,National University of Singapore (NUS),Ethnicity and Nation-Building: Singapore and Malaysia,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1009,National University of Singapore (NUS),The Evolution of a Global City-State,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1012,National University of Singapore (NUS),Islam and Contemporary Malay Society,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1022,National University of Singapore (NUS),Culture and Communication in Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1024,National University of Singapore (NUS),We the Citizens - Understanding Singapore’s Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1029,National University of Singapore (NUS),Everyday Ethics in Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1032,National University of Singapore (NUS),Prominent Chinese in Colonial Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GESS1037,National University of Singapore (NUS),Gender and Sexuality: A Singaporean History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1000,National University of Singapore (NUS),Framing Bollywood: Unpacking The Magic,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1005,National University of Singapore (NUS),Public Speaking and Critical Reasoning,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1011,National University of Singapore (NUS),Science Fiction and Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1012,National University of Singapore (NUS),Effective Reasoning,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1014,National University of Singapore (NUS),Logic,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1015,National University of Singapore (NUS),"Life, the Universe, and Everything",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEX1026,National University of Singapore (NUS),I Do Not Think Therefore I Am,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL1101E,National University of Singapore (NUS),Global Issues,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL2101,National University of Singapore (NUS),Origins of the Modern World,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL2102,National University of Singapore (NUS),Global Political Economy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL2104,National University of Singapore (NUS),Inquiry and Method,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GL3201,National University of Singapore (NUS),Doing Global Visual Culture,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
